updated_at,current_rank,ticker,company,sector,source_kind,event_date,event_type,base_date,after_1d_date,excess_1d_pct,after_5d_date,excess_5d_pct,estimated_20bd_date,after_20d_date,excess_20d_pct,existing_reaction_score,reconstruction_status,due_status,score_connection,reason,source_url
2026/05/26 20:43,1,6762.T,TDK,電子部品,既存詳細CSVから復元,2026-04-28,2026年3月期 決算,2026-04-28,2026-04-30,9.03%,2026-05-11,5.5%,2026-06-01,,,47,1日/5日復元済み,20営業日未到達,未接続,1日/5日反応は確認できるが、20営業日反応が未到達のため採点へ接続しない。,https://www.tdk.com/system/files/2026042800_0mqf56xw_ja.pdf
2026/05/26 20:43,2,2802.T,味の素,食品,既存完了CSVから使用,2026-05-07,2026年3月期通期決算,2026-05-07,2026-05-08,1.64%,2026-05-14,12.07%,2026-06-04,,,65.8,1日/5日接続済み,20営業日未到達,未接続,1日/5日反応は確認できるが、20営業日反応が未到達のため採点へ接続しない。,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/26 20:43,3,8766.T,東京海上HD,保険,未接続,,,,,,,,,,,,未接続,イベント日未接続,未接続,決算日または基準株価が未接続のため、まず公式発表日と基準株価を確認する。,
2026/05/26 20:43,4,8316.T,三井住友FG,銀行,既存完了CSVから使用,2026-05-13,2026年3月期通期決算,2026-05-13,2026-05-14,-2.05%,2026-05-20,5.99%,2026-06-10,,,55.5,1日/5日接続済み,20営業日未到達,未接続,1日/5日反応は確認できるが、20営業日反応が未到達のため採点へ接続しない。,https://www.smfg.co.jp/investor/financial/latest_statement/
2026/05/26 20:43,5,8306.T,三菱UFJ FG,銀行,既存詳細CSVから復元,2026-05-15,2026年3月期 決算,2026-05-15,2026-05-18,3.22%,2026-05-22,2.39%,2026-06-12,,,48.4,1日/5日復元済み,20営業日未到達,未接続,1日/5日反応は確認できるが、20営業日反応が未到達のため採点へ接続しない。,https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2603_ja.pdf
2026/05/26 20:43,6,6367.T,ダイキン工業,空調,未接続,,,,,,,,,,,,未接続,イベント日未接続,未接続,決算日または基準株価が未接続のため、まず公式発表日と基準株価を確認する。,
2026/05/26 20:43,7,6503.T,三菱電機,総合電機,既存完了CSVから使用,2026-04-28,2026年3月期通期決算,2026-04-28,2026-04-30,3.57%,2026-05-11,1.9%,2026-06-01,,,55.1,1日/5日接続済み,20営業日未到達,未接続,1日/5日反応は確認できるが、20営業日反応が未到達のため採点へ接続しない。,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co1.pdf
2026/05/26 20:43,8,5020.T,ENEOS HD,エネルギー,既存完了CSVから使用,2026-05-14,2026年3月期通期決算,2026-05-14,2026-05-15,7.35%,2026-05-21,0.94%,2026-06-11,,,57,1日/5日接続済み,20営業日未到達,未接続,1日/5日反応は確認できるが、20営業日反応が未到達のため採点へ接続しない。,https://irbank.net/5020
2026/05/26 20:43,9,6146.T,ディスコ,半導体装置,既存詳細CSVから復元,2026-04-22,2026年3月期 決算,2026-04-22,2026-04-23,-3.03%,2026-04-30,-0.59%,2026-05-26,,,50.4,1日/5日復元済み,20営業日到達済み・再取得必要,未接続,20営業日目は概算上到達しているが、終値と指数比較の再取得が必要。再取得まで採点へ接続しない。,https://www.disco.co.jp/jp/ir/library/doc/fr/fr20260422.pdf
2026/05/26 20:43,10,4385.T,メルカリ,ネット,既存完了CSVから使用,2026-05-11,2026年6月期3Q決算,2026-05-11,2026-05-12,-2.42%,2026-05-18,7.3%,2026-06-08,,,56.8,1日/5日接続済み,20営業日未到達,未接続,1日/5日反応は確認できるが、20営業日反応が未到達のため採点へ接続しない。,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20260511/20260508520767.pdf
