date,quote_time_jst,captured_at_jst,symbol,price_yen,quantity,market_value_yen,quote_status,source
2026-07-14,未確認,2026-07-14 18:00:00,1801.T,13520,3,40560,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,1812.T,5559,14,77826,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,5333.T,6617,5,33085,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,5803.T,4800,8,38400,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,6146.T,71650,1,71650,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,6383.T,6602,6,39612,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,6501.T,4802,15,72030,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,6503.T,5592,14,78288,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,6504.T,12760,6,76560,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,6762.T,3234,23,74382,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,6861.T,75390,2,150780,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,7012.T,2690,25,67250,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,7203.T,2839,23,65297,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,7269.T,2017,20,40340,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,7532.T,874,70,61180,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,7832.T,4143,16,66288,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,8035.T,71130,1,71130,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,8306.T,3600,18,64800,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,8316.T,6967,13,90571,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,8411.T,8480,10,84800,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,8591.T,6430,13,83590,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,8630.T,6584,12,79008,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,8750.T,1856,10,18560,SNAPSHOT,証券会社画面画像
2026-07-14,未確認,2026-07-14 18:00:00,8766.T,7720,12,92640,SNAPSHOT,証券会社画面画像
