symbol,name,quantity,average_cost_yen,latest_price_yen,management_state,half_sell_loss_pct,half_sell_monitor_price_yen,full_sell_loss_pct,full_sell_monitor_price_yen,next_check,generated_at_jst
1801.T,大成建設,3,13520,13690,正常,30,9464,35,8788,2026-07-22,2026-07-17 10:20:48
1812.T,鹿島,14,5559,5602,正常,30,3891.3,35,3613.3,2026-07-22,2026-07-17 10:20:48
5333.T,NGK,5,6617,6184,正常,30,4631.9,35,4301.1,2026-07-22,2026-07-17 10:20:48
5803.T,フジクラ,8,4800,4448,正常,30,3360,35,3120,2026-07-22,2026-07-17 10:20:48
6146.T,ディスコ,1,71650,64460,監視（下落確認）,30,50155,35,46572.5,2026-07-22,2026-07-17 10:20:48
6383.T,ダイフク,6,6602,6271,正常,30,4621.4,35,4291.3,2026-07-22,2026-07-17 10:20:48
6501.T,日立製作所,15,4802,4700,正常,30,3361.4,35,3121.3,2026-07-22,2026-07-17 10:20:48
6503.T,三菱電機,14,5592,5419,正常,30,3914.4,35,3634.8,2026-07-22,2026-07-17 10:20:48
6504.T,富士電機,6,12760,12175,正常,30,8932,35,8294,2026-07-22,2026-07-17 10:20:48
6762.T,TDK,23,3234,2939,監視（下落確認）,30,2263.8,35,2102.1,2026-07-22,2026-07-17 10:20:48
6861.T,キーエンス,2,75390,71110,正常,30,52773,35,49003.5,2026-07-22,2026-07-17 10:20:48
7012.T,川崎重工業,25,2690,2625,正常,30,1883,35,1748.5,2026-07-22,2026-07-17 10:20:48
7203.T,トヨタ自動車,23,2839,2905,正常,24.7,2138.9,29.7,1996.9,2026-07-22,2026-07-17 10:20:48
7269.T,スズキ,20,2017,2054.5,正常,30,1411.9,35,1311,2026-07-22,2026-07-17 10:20:48
7532.T,パン・パシフィックHD,70,874,893.1,正常,26,646.3,31,602.6,2026-07-22,2026-07-17 10:20:48
7832.T,バンダイナムコHD,16,4143,4207,正常,24.4,3130.4,29.4,2923.2,2026-07-22,2026-07-17 10:20:48
8035.T,東京エレクトロン,1,71130,65150,監視（下落確認）,30,49791,35,46234.5,2026-07-22,2026-07-17 10:20:48
8306.T,三菱UFJ FG,18,3600,3522,正常,21.6,2820.9,26.6,2640.9,2026-07-22,2026-07-17 10:20:48
8316.T,三井住友FG,13,6967,6862,正常,24.7,5248.9,29.7,4900.5,2026-07-22,2026-07-17 10:20:48
8411.T,みずほFG,10,8480,8124,正常,30,5936,35,5512,2026-07-22,2026-07-17 10:20:48
8591.T,オリックス,13,6430,6352,正常,30,4501,35,4179.5,2026-07-22,2026-07-17 10:20:48
8630.T,SOMPO HD,12,6584,6687,正常,30,4608.8,35,4279.6,2026-07-22,2026-07-17 10:20:48
8750.T,第一生命HD,10,1856,1821.5,正常,23,1428.8,28,1336,2026-07-22,2026-07-17 10:20:48
8766.T,東京海上HD,12,7720,7637,正常,27.4,5603.8,32.4,5217.8,2026-07-22,2026-07-17 10:20:48
8795.T,T&D HD,14,4952,4870,正常,28.8,3526.1,33.8,3278.5,2026-07-22,2026-07-17 10:20:48
9432.T,NTT,500,152,152.1,正常,18,124.6,25,114,2026-07-22,2026-07-17 10:20:48
9433.T,KDDI,23,2835,2889,正常,20.8,2244.7,25.8,2103,2026-07-22,2026-07-17 10:20:48
9697.T,カプコン,7,3314,3431,正常,30,2319.8,35,2154.1,2026-07-22,2026-07-17 10:20:48
9983.T,ファーストリテイリング,2,79790,80800,正常,26.4,58759.8,31.4,54770.3,2026-07-22,2026-07-17 10:20:48
