trade_date,check_time,ticker,name,planned_status,execution_bucket,planned_shares,candidate_yen,planned_yen,hold_until_confirmed_yen,limit_price_yen,do_not_chase_price_yen,actual_action,actual_shares,actual_price_yen,actual_yen,not_bought_reason,market_condition,index_change_pct,usdjpy,us10y,vix,memo
2026-06-19,,8053.T,住友商事,初回候補,本日小口実行枠,10,63850,63850,0,6353.1,6576.6,未入力,,,,,,,,,,
2026-06-19,,8316.T,三井住友FG,初回候補,本日小口実行枠,9,58536,58536,0,6471.5,6699.1,未入力,,,,,,,,,,
2026-06-19,,8058.T,三菱商事,確認後候補,確認後まで保留,0,0,0,18000,4547.1,4707.1,未入力,,,,,,,,,,
2026-06-19,,6501.T,日立製作所,初回候補,本日小口実行枠,13,61971,61971,0,4743.2,4910.0,未入力,,,,,,,,,,
2026-06-19,,6503.T,三菱電機,小口候補,条件付き小口実行枠,4,24272,24272,0,6037.7,6250.0,未入力,,,,,,,,,,
2026-06-19,,8411.T,みずほFG,確認後候補,確認後まで保留,0,0,0,18000,8207.8,8496.5,未入力,,,,,,,,,,
2026-06-19,,6762.T,TDK,小口候補,条件付き小口実行枠,6,23628,23628,0,3918.3,4056.1,未入力,,,,,,,,,,
2026-06-19,,8031.T,三井物産,確認後候補,確認後まで保留,0,0,0,18000,4695.4,4860.6,未入力,,,,,,,,,,
2026-06-19,,8750.T,第一生命HD,確認後候補,確認後まで保留,0,0,0,18000,1811.4,1875.1,未入力,,,,,,,,,,
2026-06-19,15:00以降,全体,当日総括,記録,,,,,,,,未入力,,,,,指数、為替、金利、VIX、ニュースの総括,,,,,買った理由、買わなかった理由、翌営業日に見る項目を記録。
