no,base_date,ticker,name,channel,source_start,edinet_code,document_to_check,source_url,disclosed_before_base,revenue_current,revenue_previous,revenue_growth_pct,profit_current,profit_previous,profit_growth_pct,eps_current,roe_pct,per_asof,pbr_asof,dividend_or_buyback,verification_status,use_in_backtest,note
1,2025-06-01,8316.T,三井住友FG,総合,三井住友フィナンシャルグループ IR,E03614,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,https://www.smfg.co.jp/investor/financial/latest_statement/2025_3/2025_fy_01.pdf,確認済み 2025-05-14公表,10174894百万円,9353590百万円,8.8,1177996百万円,962946百万円,22.3,301.55,8.0,11.73,0.93,配当性向40.3%。2025-05-14に自己株式取得を決議。,確認済み,使用可,2025-05-14公表の2025年3月期決算短信で確認。PER/PBRは2025-06-02株価3538.61円、EPS301.55円、BPS3795.62円で計算。
2,2025-06-01,8306.T,三菱UFJ FG,総合,三菱UFJフィナンシャル・グループ IR,E03606,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,,未確認,,,,,,,,,,,,未着手,保留,基準日以前に公表済みの資料だけで確認する。現在値で埋めない。
3,2025-06-01,8725.T,MS&AD,総合,MS&ADインシュアランスグループ IR,E03854,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,,未確認,,,,,,,,,,,,未着手,保留,基準日以前に公表済みの資料だけで確認する。現在値で埋めない。
4,2025-06-01,8411.T,みずほFG,総合,みずほフィナンシャルグループ IR,E03615,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,,未確認,,,,,,,,,,,,未着手,保留,基準日以前に公表済みの資料だけで確認する。現在値で埋めない。
5,2025-06-01,6503.T,三菱電機,総合 / データセンター・電力・冷却・電線,三菱電機 IR,E01739,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,,未確認,,,,,,,,,,,,未着手,保留,基準日以前に公表済みの資料だけで確認する。現在値で埋めない。
6,2025-06-01,6857.T,アドバンテスト,半導体製造装置・材料,アドバンテスト IR,E01911,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,,未確認,,,,,,,,,,,,未着手,保留,基準日以前に公表済みの資料だけで確認する。現在値で埋めない。
7,2025-06-01,6146.T,ディスコ,半導体製造装置・材料,ディスコ IR,E01506,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,,未確認,,,,,,,,,,,,未着手,保留,基準日以前に公表済みの資料だけで確認する。現在値で埋めない。
8,2025-06-01,8035.T,東京エレクトロン,半導体製造装置・材料,東京エレクトロン IR,E02652,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,,未確認,,,,,,,,,,,,未着手,保留,基準日以前に公表済みの資料だけで確認する。現在値で埋めない。
9,2025-06-01,7735.T,SCREEN HD,半導体製造装置・材料,SCREENホールディングス IR,E02288,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,,未確認,,,,,,,,,,,,未着手,保留,基準日以前に公表済みの資料だけで確認する。現在値で埋めない。
10,2025-06-01,6920.T,レーザーテック,半導体製造装置・材料,レーザーテック IR,E01991,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,,未確認,,,,,,,,,,,,未着手,保留,基準日以前に公表済みの資料だけで確認する。現在値で埋めない。
11,2025-06-01,7011.T,三菱重工業,データセンター・電力・冷却・電線,三菱重工業 IR,E02126,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,,未確認,,,,,,,,,,,,未着手,保留,基準日以前に公表済みの資料だけで確認する。現在値で埋めない。
12,2025-06-01,6501.T,日立製作所,データセンター・電力・冷却・電線,日立製作所 IR,E01737,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,,未確認,,,,,,,,,,,,未着手,保留,基準日以前に公表済みの資料だけで確認する。現在値で埋めない。
13,2025-06-01,5803.T,フジクラ,データセンター・電力・冷却・電線,フジクラ IR,E01334,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,,未確認,,,,,,,,,,,,未着手,保留,基準日以前に公表済みの資料だけで確認する。現在値で埋めない。
14,2025-06-01,5801.T,古河電工,データセンター・電力・冷却・電線,古河電気工業 IR,E01332,2025年3月期 決算短信 / 2025年3月期 有価証券報告書 / 基準日前IR,,未確認,,,,,,,,,,,,未着手,保留,基準日以前に公表済みの資料だけで確認する。現在値で埋めない。
